Name,ROM,Display,Camera,Discount,Rating,Selling Price,MRP
"Google Pixel 9A (Iris, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 9 (Porcelain, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
"Apple iPhone 13 (Starlight, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,9% off,4.6,"₹44,999","₹49,900"
"Apple iPhone 16 (Teal, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,6% off,4.6,"₹74,900","₹79,900"
"Apple iPhone 16 (Pink, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,6% off,4.6,"₹74,900","₹79,900"
"Google Pixel 8a (Bay, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Apple iPhone 16 (White, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,6% off,4.6,"₹74,900","₹79,900"
"Apple iPhone 16 (Black, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,6% off,4.6,"₹74,900","₹79,900"
"Apple iPhone 16 (White, 256 GB)",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,5% off,4.6,"₹84,900","₹89,900"
"Apple iPhone 16 (Ultramarine, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,6% off,4.6,"₹74,900","₹79,900"
"Google Pixel 9A (Porcelain, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 9 (Wintergreen, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
"Apple iPhone 15 (Blue, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,7% off,4.6,"₹64,900","₹69,900"
"Apple iPhone 14 (Starlight, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,11% off,4.6,"₹52,990","₹59,900"
"Apple iPhone 16 (Pink, 256 GB)",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,5% off,4.6,"₹84,900","₹89,900"
"Apple iPhone 16 (Ultramarine, 256 GB)",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,5% off,4.6,"₹84,900","₹89,900"
"Google Pixel 9A (Obsidian, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 8a (Obsidian, 256 GB)",8 GB RAM | 256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,25% off,4.3,"₹44,999","₹59,999"
"Apple iPhone 16 (Teal, 256 GB)",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,5% off,4.6,"₹84,900","₹89,900"
"Apple iPhone 16 (Black, 256 GB)",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,5% off,4.6,"₹84,900","₹89,900"
"Google Pixel 9 (Obsidian, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
"Google Pixel 8a (Porcelain, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Apple iPhone 15 (Pink, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,7% off,4.6,"₹64,900","₹69,900"
